scope,window,industry,members,median_pct,mean_pct,slug
finviz,1m,Drug Manufacturers - Specialty & Generic,,-2.5,-2.5,drugmanufacturersspecialtygeneric
finviz,3m,Drug Manufacturers - Specialty & Generic,,1.57,1.57,drugmanufacturersspecialtygeneric
finviz,6m,Drug Manufacturers - Specialty & Generic,,0.9,0.9,drugmanufacturersspecialtygeneric
finviz,1w,Education & Training Services,,0.02,0.02,educationtrainingservices
finviz,1m,Education & Training Services,,-2.59,-2.59,educationtrainingservices
finviz,3m,Education & Training Services,,2.53,2.53,educationtrainingservices
finviz,6m,Education & Training Services,,-4.79,-4.79,educationtrainingservices
finviz,1w,Other Precious Metals & Mining,,-0.02,-0.02,otherpreciousmetalsmining
finviz,1m,Other Precious Metals & Mining,,-10.48,-10.48,otherpreciousmetalsmining
finviz,3m,Other Precious Metals & Mining,,16.54,16.54,otherpreciousmetalsmining
finviz,6m,Other Precious Metals & Mining,,-0.36,-0.36,otherpreciousmetalsmining
finviz,1w,Real Estate - Development,,-0.02,-0.02,realestatedevelopment
finviz,1m,Real Estate - Development,,-9.17,-9.17,realestatedevelopment
finviz,3m,Real Estate - Development,,-11.52,-11.52,realestatedevelopment
finviz,6m,Real Estate - Development,,3.14,3.14,realestatedevelopment
finviz,1w,Broadcasting,,-0.08,-0.08,broadcasting
finviz,1m,Broadcasting,,-8.27,-8.27,broadcasting
finviz,3m,Broadcasting,,0.81,0.81,broadcasting
finviz,6m,Broadcasting,,-14.74,-14.74,broadcasting
finviz,1w,Financial Conglomerates,,-0.27,-0.27,financialconglomerates
finviz,1m,Financial Conglomerates,,1.34,1.34,financialconglomerates
finviz,3m,Financial Conglomerates,,5.64,5.64,financialconglomerates
finviz,6m,Financial Conglomerates,,28.94,28.94,financialconglomerates
finviz,1w,Asset Management,,-0.28,-0.28,assetmanagement
finviz,1m,Asset Management,,-8.75,-8.75,assetmanagement
finviz,3m,Asset Management,,4.91,4.91,assetmanagement
finviz,6m,Asset Management,,11.59,11.59,assetmanagement
finviz,1w,Shell Companies,,-0.32,-0.32,shellcompanies
finviz,1m,Shell Companies,,-3.05,-3.05,shellcompanies
finviz,3m,Shell Companies,,-8.75,-8.75,shellcompanies
finviz,6m,Shell Companies,,19.99,19.99,shellcompanies
finviz,1w,Railroads,,-0.33,-0.33,railroads
finviz,1m,Railroads,,-8.42,-8.42,railroads
finviz,3m,Railroads,,4.28,4.28,railroads
finviz,6m,Railroads,,15.45,15.45,railroads
finviz,1w,Electronic Gaming & Multimedia,,-0.35,-0.35,electronicgamingmultimedia
finviz,1m,Electronic Gaming & Multimedia,,-1.45,-1.45,electronicgamingmultimedia
finviz,3m,Electronic Gaming & Multimedia,,-3.67,-3.67,electronicgamingmultimedia
finviz,6m,Electronic Gaming & Multimedia,,1.29,1.29,electronicgamingmultimedia
finviz,1w,Beverages - Wineries & Distilleries,,-0.36,-0.36,beverageswineriesdistilleries
finviz,1m,Beverages - Wineries & Distilleries,,-10.02,-10.02,beverageswineriesdistilleries
finviz,3m,Beverages - Wineries & Distilleries,,1.37,1.37,beverageswineriesdistilleries
finviz,6m,Beverages - Wineries & Distilleries,,16.93,16.93,beverageswineriesdistilleries
finviz,1w,Insurance - Reinsurance,,-0.58,-0.58,insurancereinsurance
finviz,1m,Insurance - Reinsurance,,-0.21,-0.21,insurancereinsurance
finviz,3m,Insurance - Reinsurance,,10.02,10.02,insurancereinsurance
finviz,6m,Insurance - Reinsurance,,15.79,15.79,insurancereinsurance
finviz,1w,REIT - Specialty,,-0.74,-0.74,reitspecialty
finviz,1m,REIT - Specialty,,-4.87,-4.87,reitspecialty
finviz,3m,REIT - Specialty,,-7.63,-7.63,reitspecialty
finviz,6m,REIT - Specialty,,2.08,2.08,reitspecialty
finviz,1w,Tobacco,,-0.75,-0.75,tobacco
finviz,1m,Tobacco,,-0.5,-0.5,tobacco
finviz,3m,Tobacco,,0.13,0.13,tobacco
finviz,6m,Tobacco,,9.01,9.01,tobacco
finviz,1w,Oil & Gas Equipment & Services,,-0.85,-0.85,oilgasequipmentservices
finviz,1m,Oil & Gas Equipment & Services,,-3.42,-3.42,oilgasequipmentservices
finviz,3m,Oil & Gas Equipment & Services,,3.44,3.44,oilgasequipmentservices
finviz,6m,Oil & Gas Equipment & Services,,-3.13,-3.13,oilgasequipmentservices
finviz,1w,Aerospace & Defense,,-0.89,-0.89,aerospacedefense
finviz,1m,Aerospace & Defense,,-1.25,-1.25,aerospacedefense
finviz,3m,Aerospace & Defense,,-7.05,-7.05,aerospacedefense
finviz,6m,Aerospace & Defense,,-5.68,-5.68,aerospacedefense
finviz,1w,REIT - Industrial,,-0.9,-0.9,reitindustrial
finviz,1m,REIT - Industrial,,-7.04,-7.04,reitindustrial
finviz,3m,REIT - Industrial,,-5.4,-5.4,reitindustrial
finviz,6m,REIT - Industrial,,5.04,5.04,reitindustrial
finviz,1w,Food Distribution,,-0.97,-0.97,fooddistribution
finviz,1m,Food Distribution,,-10.22,-10.22,fooddistribution
finviz,3m,Food Distribution,,-5.06,-5.06,fooddistribution
finviz,6m,Food Distribution,,1.38,1.38,fooddistribution
finviz,1w,Medical Devices,,-1.03,-1.03,medicaldevices
finviz,1m,Medical Devices,,-8.82,-8.82,medicaldevices
finviz,3m,Medical Devices,,4.49,4.49,medicaldevices
finviz,6m,Medical Devices,,-4.03,-4.03,medicaldevices
finviz,1w,Beverages - Non-Alcoholic,,-1.09,-1.09,beveragesnonalcoholic
finviz,1m,Beverages - Non-Alcoholic,,-6.77,-6.77,beveragesnonalcoholic
finviz,3m,Beverages - Non-Alcoholic,,1.03,1.03,beveragesnonalcoholic
finviz,6m,Beverages - Non-Alcoholic,,7.68,7.68,beveragesnonalcoholic
finviz,1w,REIT - Retail,,-1.16,-1.16,reitretail
finviz,1m,REIT - Retail,,-8.96,-8.96,reitretail
finviz,3m,REIT - Retail,,-10.37,-10.37,reitretail
finviz,6m,REIT - Retail,,1.21,1.21,reitretail
finviz,1w,Recreational Vehicles,,-1.23,-1.23,recreationalvehicles
finviz,1m,Recreational Vehicles,,-14.73,-14.73,recreationalvehicles
finviz,3m,Recreational Vehicles,,-13.89,-13.89,recreationalvehicles
finviz,6m,Recreational Vehicles,,-13.45,-13.45,recreationalvehicles
finviz,1w,Insurance - Life,,-1.23,-1.23,insurancelife
finviz,1m,Insurance - Life,,-1.94,-1.94,insurancelife
finviz,3m,Insurance - Life,,5.5,5.5,insurancelife
finviz,6m,Insurance - Life,,17.84,17.84,insurancelife
finviz,1w,Oil & Gas Midstream,,-1.26,-1.26,oilgasmidstream
finviz,1m,Oil & Gas Midstream,,-2.19,-2.19,oilgasmidstream
finviz,3m,Oil & Gas Midstream,,0.6,0.6,oilgasmidstream
finviz,6m,Oil & Gas Midstream,,-1.51,-1.51,oilgasmidstream
finviz,1w,Medical Care Facilities,,-1.39,-1.39,medicalcarefacilities
finviz,1m,Medical Care Facilities,,-1.11,-1.11,medicalcarefacilities
finviz,3m,Medical Care Facilities,,10.56,10.56,medicalcarefacilities
finviz,6m,Medical Care Facilities,,5.2,5.2,medicalcarefacilities
finviz,1w,Confectioners,,-1.43,-1.43,confectioners
finviz,1m,Confectioners,,-6.65,-6.65,confectioners
finviz,3m,Confectioners,,-2.34,-2.34,confectioners
finviz,6m,Confectioners,,-1.55,-1.55,confectioners
finviz,1w,Oil & Gas Integrated,,-1.43,-1.43,oilgasintegrated
finviz,1m,Oil & Gas Integrated,,0.72,0.72,oilgasintegrated
finviz,3m,Oil & Gas Integrated,,20.04,20.04,oilgasintegrated
finviz,6m,Oil & Gas Integrated,,1.74,1.74,oilgasintegrated
finviz,1w,Building Materials,,-1.49,-1.49,buildingmaterials
finviz,1m,Building Materials,,-11.4,-11.4,buildingmaterials
finviz,3m,Building Materials,,-21.5,-21.5,buildingmaterials
finviz,6m,Building Materials,,-14.45,-14.45,buildingmaterials
finviz,1w,"Furnishings, Fixtures & Appliances",,-1.52,-1.52,furnishingsfixturesappliances
finviz,1m,"Furnishings, Fixtures & Appliances",,-7.72,-7.72,furnishingsfixturesappliances
finviz,3m,"Furnishings, Fixtures & Appliances",,-0.44,-0.44,furnishingsfixturesappliances
finviz,6m,"Furnishings, Fixtures & Appliances",,12.79,12.79,furnishingsfixturesappliances
finviz,1w,Home Improvement Retail,,-1.71,-1.71,homeimprovementretail
finviz,1m,Home Improvement Retail,,-12.01,-12.01,homeimprovementretail
finviz,3m,Home Improvement Retail,,-13.52,-13.52,homeimprovementretail
finviz,6m,Home Improvement Retail,,-12.54,-12.54,homeimprovementretail
finviz,1w,REIT - Mortgage,,-1.75,-1.75,reitmortgage
finviz,1m,REIT - Mortgage,,-10.19,-10.19,reitmortgage
finviz,3m,REIT - Mortgage,,-9.53,-9.53,reitmortgage
finviz,6m,REIT - Mortgage,,-7.3,-7.3,reitmortgage
finviz,1w,REIT - Healthcare Facilities,,-1.77,-1.77,reithealthcarefacilities
finviz,1m,REIT - Healthcare Facilities,,-4.95,-4.95,reithealthcarefacilities
finviz,3m,REIT - Healthcare Facilities,,1.32,1.32,reithealthcarefacilities
finviz,6m,REIT - Healthcare Facilities,,11.73,11.73,reithealthcarefacilities
finviz,1w,Security & Protection Services,,-1.78,-1.78,securityprotectionservices
finviz,1m,Security & Protection Services,,-6.14,-6.14,securityprotectionservices
finviz,3m,Security & Protection Services,,7.12,7.12,securityprotectionservices
finviz,6m,Security & Protection Services,,10.31,10.31,securityprotectionservices
finviz,1w,Metal Fabrication,,-1.83,-1.83,metalfabrication
finviz,1m,Metal Fabrication,,-10.09,-10.09,metalfabrication
finviz,3m,Metal Fabrication,,-16.56,-16.56,metalfabrication
finviz,6m,Metal Fabrication,,4.13,4.13,metalfabrication
finviz,1w,REIT - Office,,-2.01,-2.01,reitoffice
finviz,1m,REIT - Office,,-9.12,-9.12,reitoffice
finviz,3m,REIT - Office,,-3.61,-3.61,reitoffice
finviz,6m,REIT - Office,,20.43,20.43,reitoffice
finviz,1w,Medical Distribution,,-2.09,-2.09,medicaldistribution
finviz,1m,Medical Distribution,,-1.96,-1.96,medicaldistribution
finviz,3m,Medical Distribution,,7.76,7.76,medicaldistribution
finviz,6m,Medical Distribution,,0.68,0.68,medicaldistribution
finviz,1w,Information Technology Services,,-2.14,-2.14,informationtechnologyservices
finviz,1m,Information Technology Services,,-3.38,-3.38,informationtechnologyservices
finviz,3m,Information Technology Services,,2.31,2.31,informationtechnologyservices
finviz,6m,Information Technology Services,,-6.31,-6.31,informationtechnologyservices
finviz,1w,REIT - Residential,,-2.19,-2.19,reitresidential
finviz,1m,REIT - Residential,,-9.98,-9.98,reitresidential
finviz,3m,REIT - Residential,,-7.64,-7.64,reitresidential
finviz,6m,REIT - Residential,,2.2,2.2,reitresidential
finviz,1w,Thermal Coal,,-2.21,-2.21,thermalcoal
finviz,1m,Thermal Coal,,-3.88,-3.88,thermalcoal
finviz,3m,Thermal Coal,,9.65,9.65,thermalcoal
finviz,6m,Thermal Coal,,-19.3,-19.3,thermalcoal
