name,description,exchange,industry,close,SMA30,SMA50,ADRP,ATRP,average_volume_10d_calc,average_volume_30d_calc,dollar_volume_30d,average_dollar_volume_30d,Perf.1M,perf_1m_rank,Perf.3M,perf_3m_rank,Perf.6M,perf_6m_rank,momentum_score,atr_extension_from_50d,earnings_date,earnings_soon,tradingview_url,is_top_1m,is_top_3m,is_top_6m
WFRD,Weatherford International plc,NASDAQ,Oilfield Services/Equipment,84.0,90.47,88.41,4.23,4.27,1102659.0,969796.6,81462914.0,87737983.0,-8.08,283,-3.89,244,-12.64,329,-8.2,-1.17,2026-10-27,False,https://www.tradingview.com/chart/?symbol=NASDAQ:WFRD&interval=D,False,False,False
QBTS,D-Wave Quantum Inc.,NASDAQ,Computer Processing Hardware,17.56,18.13,18.26,4.42,6.02,14711204.1,15122891.8,265557980.0,274142742.0,-8.11,284,-28.11,373,11.28,237,-8.31,-0.63,2026-11-05,False,https://www.tradingview.com/chart/?symbol=NASDAQ:QBTS&interval=D,False,False,False
RKLB,Rocket Lab Corporation,NASDAQ,Aerospace & Defense,71.98,69.1,69.58,4.47,5.43,21576972.7,18284884.7,1316146001.0,1263461153.0,-2.93,213,-23.3,349,1.1,269,-8.38,0.64,2026-11-16,False,https://www.tradingview.com/chart/?symbol=NASDAQ:RKLB&interval=D,False,False,False
VSEC,VSE Corporation,NASDAQ,Engineering & Construction,183.42,208.71,206.63,4.53,5.14,447752.3,370325.4666666667,67925097.0,77289764.0,-15.74,377,-14.69,308,4.94,255,-8.49,-2.19,2026-10-28,False,https://www.tradingview.com/chart/?symbol=NASDAQ:VSEC&interval=D,False,False,False
XRAY,DENTSPLY SIRONA Inc.,NASDAQ,Medical Specialties,9.95,10.78,11.81,4.28,4.69,5312213.9,4233362.733333333,42121959.0,45653289.0,-8.25,285,-3.86,243,-13.4,333,-8.51,-3.36,2026-10-29,False,https://www.tradingview.com/chart/?symbol=NASDAQ:XRAY&interval=D,False,False,False
WRBY,Warby Parker Inc.,NYSE,Specialty Stores,22.94,25.0,25.58,5.55,6.12,3154787.2,2526340.066666667,57954241.0,63147554.0,-17.51,398,-8.71,268,-0.04,276,-8.76,-1.69,2026-11-05,False,https://www.tradingview.com/chart/?symbol=NYSE:WRBY&interval=D,False,False,False
PINS,"Pinterest, Inc.",NYSE,Internet Software/Services,18.39,21.34,22.2,4.52,4.77,18957146.9,12958001.066666666,238297640.0,276493507.0,-20.87,416,-6.03,252,0.52,272,-8.79,-3.6,2026-11-04,False,https://www.tradingview.com/chart/?symbol=NYSE:PINS&interval=D,False,False,False
DPC,DPC Holdings PLC,NYSE,Electrical Products,40.65,44.24,45.85,6.91,7.19,1090316.2,1092162.7,44396414.0,48320554.0,-11.26,329,-7.61,259,-7.61,305,-8.83,-1.58,2026-12-02,False,https://www.tradingview.com/chart/?symbol=NYSE:DPC&interval=D,False,False,False
RKT,"Rocket Companies, Inc.",NYSE,Finance/Rental/Leasing,12.74,13.7,13.72,4.24,4.87,37313945.3,28422531.9,362103056.0,389398161.0,-10.53,318,-8.35,263,-7.68,306,-8.85,-1.47,2026-10-29,False,https://www.tradingview.com/chart/?symbol=NYSE:RKT&interval=D,False,False,False
CPRI,Capri Holdings Limited,NYSE,Apparel/Footwear Retail,15.19,14.02,14.81,4.95,5.06,8042664.2,5545455.3,84235466.0,77728798.0,9.68,100,-20.6,336,-15.98,344,-8.97,0.5,2026-11-05,False,https://www.tradingview.com/chart/?symbol=NYSE:CPRI&interval=D,False,False,False
ALNY,"Alnylam Pharmaceuticals, Inc.",NASDAQ,Pharmaceuticals: Major,251.65,241.96,246.12,4.16,4.19,1430394.7,1631672.5,410610385.0,394797846.0,9.95,94,-13.51,300,-23.49,378,-9.02,0.54,2026-10-29,False,https://www.tradingview.com/chart/?symbol=NASDAQ:ALNY&interval=D,False,False,False
STRL,"Sterling Infrastructure, Inc.",NASDAQ,Engineering & Construction,516.57,506.36,548.13,4.03,5.65,608774.5,566387.0,292578533.0,286795721.0,-2.26,206,-42.22,423,17.27,220,-9.07,-1.02,2026-11-09,False,https://www.tradingview.com/chart/?symbol=NASDAQ:STRL&interval=D,False,False,False
