scope,window,industry,members,median_pct,mean_pct
all,3m,Trucks/Construction/Farm Machinery,31,-11.02,-2.36
all,3m,Pharmaceuticals: Other,25,-11.31,-7.49
all,3m,Miscellaneous Manufacturing,12,-11.37,-8.79
all,3m,Electric Utilities,73,-11.84,-13.14
all,3m,Apparel/Footwear,34,-12.2,-10.41
all,3m,Forest Products,5,-12.21,-7.64
all,3m,Auto Parts: OEM,33,-12.91,-14.7
all,3m,Homebuilding,24,-13.21,-10.32
all,3m,Electronic Production Equipment,29,-14.11,-18.65
all,3m,Semiconductors,88,-14.53,-12.1
all,3m,Aluminum,5,-15.29,-17.22
all,3m,Consumer Sundries,4,-15.34,-16.9
all,3m,Alternative Power Generation,12,-15.44,-19.5
all,3m,Casinos/Gaming,14,-15.76,-16.19
all,3m,Home Improvement Chains,5,-16.02,-16.53
all,3m,Building Products,24,-16.95,-5.12
all,3m,Industrial Machinery,98,-17.24,-15.79
all,3m,Advertising/Marketing Services,34,-17.74,-16.86
all,3m,Electronic Components,24,-17.8,-18.67
all,3m,Electrical Products,73,-18.06,-17.61
all,3m,Airlines,19,-20.1,-19.92
all,3m,Trucking,21,-20.27,-21.97
all,3m,Construction Materials,16,-23.31,-18.45
all,3m,Food: Meat/Fish/Dairy,8,-23.37,-24.4
all,3m,Engineering & Construction,65,-27.05,-24.93
all,6m,Computer Peripherals,21,46.35,78.0
all,6m,Oil Refining/Marketing,12,43.06,36.38
all,6m,Managed Health Care,8,40.35,51.41
all,6m,Office Equipment/Supplies,4,33.23,29.96
all,6m,Textiles,5,25.8,33.58
all,6m,Tools & Hardware,5,23.98,20.01
all,6m,Medical/Nursing Services,56,22.34,33.18
all,6m,Steel,15,22.05,21.53
all,6m,Semiconductors,88,21.02,40.26
all,6m,Department Stores,4,20.19,17.31
all,6m,Services to the Health Industry,3,19.53,26.38
all,6m,Electronic Production Equipment,29,18.57,16.0
all,6m,Computer Processing Hardware,18,18.13,37.03
all,6m,Marine Shipping,68,17.05,13.42
all,6m,Electronics Distributors,10,16.93,5.03
all,6m,Savings Banks,39,16.44,18.98
all,6m,Personnel Services,23,14.3,25.1
all,6m,Electronics/Appliances,20,13.99,18.45
all,6m,Railroads,6,13.13,14.12
all,6m,Electronic Components,24,12.99,13.41
all,6m,Regional Banks,256,12.42,12.04
all,6m,Publishing: Books/Magazines,5,12.41,11.42
all,6m,Forest Products,5,12.21,11.37
all,6m,Property/Casualty Insurance,48,10.78,12.46
all,6m,Metal Fabrication,17,9.61,25.77
all,6m,Hospital/Nursing Management,12,9.35,9.98
all,6m,Electronic Equipment/Instruments,42,8.78,43.33
all,6m,Data Processing Services,54,7.67,36.4
all,6m,Trucks/Construction/Farm Machinery,31,7.52,13.09
all,6m,Movies/Entertainment,43,6.94,9.97
all,6m,Precious Metals,70,6.77,8.91
all,6m,Insurance Brokers/Services,18,6.4,1.59
all,6m,Hotels/Resorts/Cruise lines,19,6.27,9.13
all,6m,Tobacco,3,5.97,-1.92
all,6m,Packaged Software,355,5.76,11.76
all,6m,Miscellaneous,4,5.38,0.15
all,6m,Containers/Packaging,20,4.92,3.11
all,6m,Financial Publishing/Services,8,4.57,6.38
all,6m,Industrial Machinery,98,4.33,-2.15
all,6m,Homebuilding,24,3.29,6.14
all,6m,Automotive Aftermarket,5,3.04,-3.25
all,6m,Apparel/Footwear,34,3.02,17.5
all,6m,Discount Stores,3,2.45,2.91
all,6m,Information Technology Services,88,2.22,31.81
all,6m,Water Utilities,11,2.11,2.29
all,6m,Chemicals: Major Diversified,12,2.04,4.03
all,6m,Medical Specialties,207,1.87,11.65
all,6m,Financial Conglomerates,363,1.72,2.26
all,6m,Specialty Insurance,12,1.68,5.19
all,6m,Airlines,19,1.63,-5.45
all,6m,Industrial Specialties,18,1.13,9.41
all,6m,Investment Banks/Brokers,55,1.12,9.6
all,6m,Major Banks,134,0.71,4.98
all,6m,Investment Managers,85,0.53,6.03
all,6m,Trucking,21,0.47,-2.43
all,6m,Broadcasting,15,0.0,35.85
all,6m,Household/Personal Care,23,0.0,-7.27
all,6m,Real Estate Investment Trusts,340,-0.15,-1.1
all,6m,Multi-Line Insurance,52,-0.32,-0.64
